NTA,Job created,Total Savings
Battery Park City-Lower Manhattan,0,9
Bushwick South,1,10
Carroll Gardens-Columbia Street-Red Hook,0,11
College Point,1,7
Crown Heights North,0,9
DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,0,10
East New York,1,9
East Williamsburg,0,11
Greenpoint,0,14
Hunters Point-Sunnyside-West Maspeth,0,75
Hunts Point,1,13
Manhattanville,0,9
Maspeth,1,9
Mott Haven-Port Morris,3,14
Queensbridge-Ravenswood-Long Island City,0,16
SoHo-TriBeCa-Civic Center-Little Italy,0,5
Springfield Gardens South-Brookville,0,5
Steinway,1,7
Sunset Park West,0,48
park-cemetery-etc-Brooklyn,0,15
